,POM,PP,NYLON,PVC,ABS,BAKELITE,Al,Cu,STEEL,ACRYLIC
BALL,2.44698241746516,3.033921642288307,7.286077390333444,4.6021140145707795,2.411892700582423,5.578276817640893,3.605524842422855,11.30076978270984,7.286177081890124,33.23109660344797
GOLF,12.53477479477807,7.95019781813964,15.047757255920885,6.222484443320368,11.67865384005773,10.357496372337682,7.126586660593064,6.365675145901515,7.308085934500759,31.790534868953014
SPIKE,8.983364958492883,8.212229717856992,12.903439541535468,8.353743116963921,9.024344396995929,9.725992799992662,12.481178202098029,6.281260958008532,10.940889053524215,34.804098675830645
NUT,15.397755588055485,6.710896472500646,20.446486227694436,5.486559542435786,13.02698332525563,7.5297661729708985,15.50110187945264,10.628910518324892,10.51082968834352,32.6554875744395
SQUARE,18.87739833255085,9.40991782106304,22.27309189296124,39.289615894377015,16.373211532343735,6.737502732740628,7.706324743092325,7.264146625359676,23.382351473969035,41.92481188299455
PENTAGON,23.289986603967428,10.369559892013967,25.58059291674309,9.662552735004725,19.710820943333623,11.223643503628978,13.149090380205722,14.827532850349677,19.84058770377783,36.83466526467144
HEXAGON,18.22123748218302,7.105784601444464,22.324726278878384,5.440208331047007,14.900302774452928,8.135352166456366,14.09183196805442,6.442789476857653,14.009929691001483,40.690928432920984
PROPELLER,21.70005355326609,8.641427818320244,26.893836967589785,6.16110745945107,19.106122792454972,10.601621665008564,20.3863873301937,8.381915602421257,23.610519732920075,24.69264169832446
TURBINE,34.118346934181154,17.798753277903906,38.08560517236424,13.791074257884476,32.639579825742395,24.54711829708503,32.2604129289966,23.562421699541254,28.92161035923595,32.14276562448007
BUNNY,20.05309125252081,7.581375172417765,22.278657725955835,6.6955812037618925,15.993880143388335,8.253317713846153,10.337547628144437,6.591858114934242,6.134093466922773,17.066128961431165
